id,sentiment
1,4
2,3
3,3
4,3
5,3
6,3
7,4
8,3
9,3
10,4
11,3
12,3
13,4
14,3
15,4
16,4
17,3
18,4
19,4
20,3
21,3
22,4
23,4
24,3
25,3
26,4
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,4
36,3
37,3
38,3
39,3
40,3
41,4
42,3
43,3
44,3
45,4
46,3
47,3
48,4
49,4
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,4
62,3
63,3
64,3
65,4
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,4
83,4
84,3
85,3
86,3
87,4
88,4
89,4
90,3
91,4
92,3
93,3
94,3
95,4
96,4
97,4
98,4
99,3
100,4
101,3
102,3
103,3
104,3
105,3
106,4
107,3
108,4
109,4
110,3
111,3
112,3
113,3
114,4
115,3
116,4
117,3
118,3
119,4
120,3
121,4
122,4
123,3
124,3
125,3
126,4
127,3
128,3
129,3
130,3
131,3
132,3
133,4
134,3
135,4
136,3
137,3
138,3
139,3
140,3
141,3
142,4
143,3
144,3
145,3
146,4
147,3
148,3
149,3
150,4
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,4
163,4
164,3
165,4
166,3
167,4
168,3
169,3
170,3
171,3
172,4
173,3
174,4
175,3
176,3
177,3
178,3
179,3
180,4
181,4
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,4
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,4
198,3
199,3
200,3
201,4
202,4
203,3
204,3
205,3
206,3
207,4
208,3
209,3
210,3
211,4
212,3
213,3
214,3
215,3
216,4
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,4
225,3
226,3
227,3
228,3
229,3
230,3
231,4
232,4
233,3
234,3
235,3
236,3
237,3
238,3
239,4
240,3
241,3
242,4
243,3
244,4
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,4
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,4
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,4
281,3
282,4
283,4
284,3
285,3
286,3
287,3
288,3
289,3
290,5
291,3
292,4
293,3
294,5
295,4
296,5
297,4
298,4
299,4
300,3
301,4
302,3
303,3
304,4
305,5
306,3
307,3
308,3
309,4
310,4
311,3
312,4
313,3
314,3
315,4
316,4
317,3
318,3
319,3
320,3
321,3
322,4
323,3
324,5
325,3
326,3
327,4
328,5
329,3
330,3
331,3
332,3
333,3
334,4
335,4
336,4
337,4
338,4
339,4
340,4
341,4
342,4
343,4
344,4
345,4
346,4
347,3
348,4
349,3
350,3
351,3
352,3
353,4
354,4
355,5
356,3
357,5
358,3
359,3
360,3
361,3
362,4
363,3
364,4
365,3
366,3
367,5
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,3
376,4
377,3
378,4
379,3
380,3
381,4
382,4
383,4
384,4
385,3
386,3
387,4
388,3
389,3
390,4
391,4
392,3
393,3
394,4
395,3
396,3
397,4
398,3
399,4
400,3
401,3
402,3
403,4
404,3
405,3
406,3
407,3
408,3
409,3
410,4
411,3
412,4
413,3
414,4
415,3
416,3
417,3
418,4
419,4
420,4
421,3
422,3
423,4
424,4
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,4
436,3
437,4
438,3
439,4
440,3
441,3
442,4
443,3
444,3
445,4
446,3
447,4
448,4
449,3
450,3
451,3
452,4
453,4
454,3
455,5
456,3
457,5
458,3
459,3
460,3
461,3
462,3
463,3
464,3
465,3
466,3
467,3
468,3
469,3
470,3
471,3
472,4
473,3
474,3
475,3
476,3
477,4
478,3
479,3
480,5
481,4
482,4
483,3
484,3
485,3
486,3
487,4
488,3
489,3
490,4
491,3
492,3
493,3
494,3
495,3
496,3
497,3
498,3
499,3
500,4
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,4
509,4
510,3
511,3
512,3
513,3
514,4
515,4
516,4
517,3
518,3
519,4
520,3
521,4
522,3
523,4
524,3
525,4
526,3
527,4
528,4
529,3
530,3
531,3
532,3
533,4
534,3
535,4
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,4
544,3
545,3
546,3
547,3
548,3
549,4
550,3
551,3
552,3
553,3
554,3
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,4
573,3
574,3
575,3
576,3
577,4
578,3
579,3
580,3
581,4
582,3
583,4
584,4
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,4
596,4
597,3
598,4
599,3
600,4
601,4
602,4
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,3
611,3
612,3
613,3
614,3
615,3
616,3
617,3
618,3
619,4
620,3
621,3
622,3
623,3
624,3
625,3
626,4
627,4
628,3
629,3
630,3
631,3
632,3
633,3
634,3
635,3
636,3
637,3
638,3
639,3
640,3
641,3
642,3
643,3
644,4
645,4
646,3
647,3
648,3
649,3
650,3
651,3
652,3
653,4
654,3
655,3
656,3
657,3
658,3
659,3
660,3
661,3
662,3
663,3
664,3
665,3
666,3
667,4
668,3
669,3
670,3
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,4
680,3
681,3
682,3
683,3
684,3
685,3
686,3
687,3
688,3
689,3
690,3
691,4
692,3
693,3
694,3
695,5
696,3
697,3
698,3
699,3
700,3
701,3
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,4
714,3
715,3
716,3
717,3
718,3
719,3
720,3
721,3
722,3
723,3
724,3
725,4
726,3
727,3
728,3
729,4
730,4
731,3
732,4
733,3
734,3
735,3
736,3
737,3
738,3
739,3
740,3
741,3
742,3
743,3
744,3
745,3
746,3
747,4
748,3
749,3
750,3
751,4
752,4
753,3
754,3
755,3
756,4
757,3
758,4
759,3
760,3
761,3
762,3
763,4
764,3
765,4
766,3
767,3
768,3
769,3
770,3
771,3
772,3
773,3
774,3
775,3
776,5
777,3
778,3
779,3
780,3
781,3
782,3
783,4
784,3
785,3
786,3
787,3
788,3
789,3
790,3
791,3
792,3
793,4
794,3
795,4
796,3
797,3
798,3
799,3
800,3
801,3
802,3
803,3
804,3
805,3
806,3
807,3
808,3
809,3
810,3
811,3
812,3
813,3
814,3
815,4
816,3
817,3
818,3
819,3
820,3
821,3
822,3
823,3
824,3
825,3
826,3
827,3
828,3
829,3
830,3
831,3
832,3
833,4
834,3
835,3
836,3
837,4
838,3
839,3
840,3
841,3
842,3
843,3
844,4
845,3
846,3
847,3
848,3
849,3
850,3
851,3
852,3
853,3
854,3
855,3
856,3
857,3
858,3
859,3
860,4
861,3
862,3
863,3
864,3
865,3
866,3
867,3
868,4
869,3
870,3
871,3
872,3
873,3
874,3
875,3
876,3
877,3
878,3
879,4
880,3
881,3
882,4
883,4
884,4
885,5
886,4
887,3
888,4
889,3
890,4
891,4
892,3
